Agency Name,Complaint Type,Descriptor,Incident Zip,Facility Type,Status,Borough,Resolution Description,Community Board,Latitude,Longitude,Request Duration (Hours),Year,Month,Day,Hour,Weekday,Response Speed
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10034.0,Precinct,Closed,MANHATTAN,The Police Department responded and upon arrival those responsible for the condition were gone.,12 MANHATTAN,40.86568153633767,-73.92350095571744,0.925,2015,12,31,23,Thursday,Fast
New York City Police Department,Blocked Driveway,No Access,11105.0,Precinct,Closed,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01 QUEENS,40.775945312321085,-73.91509393898605,1.4536111111111112,2015,12,31,23,Thursday,Moderate
New York City Police Department,Blocked Driveway,No Access,10458.0,Precinct,Closed,BRONX,The Police Department responded and upon arrival those responsible for the condition were gone.,07 BRONX,40.870324522111424,-73.88852464418646,4.859444444444445,2015,12,31,23,Thursday,Moderate
New York City Police Department,Illegal Parking,Commercial Overnight Parking,10461.0,Precinct,Closed,BRONX,The Police Department responded to the complaint and took action to fix the condition.,10 BRONX,40.83599404683083,-73.82837939584206,7.7575,2015,12,31,23,Thursday,Slow
New York City Police Department,Illegal Parking,Blocked Sidewalk,11373.0,Precinct,Closed,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,04 QUEENS,40.733059618956815,-73.87416975810375,3.462222222222222,2015,12,31,23,Thursday,Moderate
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11215.0,Precinct,Closed,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,07 BROOKLYN,40.66082272389114,-73.99256786342693,1.8947222222222222,2015,12,31,23,Thursday,Moderate
New York City Police Department,Illegal Parking,Blocked Hydrant,10032.0,Precinct,Closed,MANHATTAN,The Police Department issued a summons in response to the complaint.,12 MANHATTAN,40.840847591440415,-73.9373750864581,1.9727777777777777,2015,12,31,23,Thursday,Moderate
New York City Police Department,Blocked Driveway,No Access,10457.0,Precinct,Closed,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,03 BRONX,40.83750262540012,-73.90290517326568,1.813611111111111,2015,12,31,23,Thursday,Moderate
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11415.0,Precinct,Closed,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,09 QUEENS,40.704977164399935,-73.8326047502584,8.559444444444445,2015,12,31,23,Thursday,Slow
New York City Police Department,Blocked Driveway,No Access,11219.0,Precinct,Closed,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,11 BROOKLYN,40.62379306580653,-73.99953890121567,1.395,2015,12,31,23,Thursday,Moderate
New York City Police Department,Blocked Driveway,No Access,11372.0,Precinct,Closed,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,03 QUEENS,40.75259967196968,-73.8933632141368,7.811111111111111,2015,12,31,23,Thursday,Slow
New York City Police Department,Blocked Driveway,No Access,10453.0,Precinct,Closed,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05 BRONX,40.85155492779258,-73.91999651358469,11.119722222222222,2015,12,31,23,Thursday,Slow
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10461.0,Precinct,Closed,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10 BRONX,40.845545043640215,-73.83358471831198,2.4988888888888887,2015,12,31,23,Thursday,Moderate
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11208.0,Precinct,Closed,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,05 BROOKLYN,40.68751060232221,-73.87450451131276,8.51361111111111,2015,12,31,23,Thursday,Slow
New York City Police Department,Derelict Vehicle,With License Plate,11379.0,Precinct,Closed,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,05 QUEENS,40.71409341858147,-73.89938394187791,10.495833333333334,2015,12,31,23,Thursday,Slow
New York City Police Department,Blocked Driveway,Partial Access,11374.0,Precinct,Closed,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,06 QUEENS,40.72967940444622,-73.87041654016662,15.5575,2015,12,31,23,Thursday,Slow
New York City Police Department,Blocked Driveway,No Access,11412.0,Precinct,Closed,QUEENS,The Police Department issued a summons in response to the complaint.,12 QUEENS,40.69252034680599,-73.75926357603389,4.8775,2015,12,31,23,Thursday,Moderate
New York City Police Department,Noise - Commercial,Loud Music/Party,11217.0,Precinct,Closed,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,06 BROOKLYN,40.679154133157326,-73.98342992763081,0.855,2015,12,31,23,Thursday,Fast
New York City Police Department,Noise - Commercial,Loud Music/Party,11234.0,Precinct,Closed,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,18 BROOKLYN,40.61655032892211,-73.93020153359745,2.941388888888889,2015,12,31,23,Thursday,Moderate
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10026.0,Precinct,Closed,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10 MANHATTAN,40.80526715877265,-73.9533526205901,0.7933333333333333,2015,12,31,23,Thursday,Fast
